"date","mkt_rf","smb","hml","rmw","cma","rf"
"1977-05-31",-0.0145420387,0.0129293778,0.0083130420,0.0033845754,0.0014823879,0.0037868118
"1977-06-30",0.0471490499,0.0194015313,-0.0052195561,0.0081137143,-0.0108564946,0.0039674934
"1977-07-31",-0.0170989099,0.0179001041,-0.0070158225,0.0086156742,0.0004695979,0.0041882867
"1977-08-31",-0.0176543698,0.0092767568,-0.0282817741,0.0106209826,-0.0071077272,0.0043791455
"1977-09-30",-0.0028855261,0.0161788431,-0.0027291313,0.0096160112,-0.0059899013,0.0044192733
"1977-10-31",-0.0436612668,0.0141176570,0.0161884916,-0.0006170494,-0.0065082169,0.0048411252
"1977-11-30",0.0397290528,0.0337440417,0.0023493656,-0.0004208958,0.0063085619,0.0050521144
"1977-12-31",0.0025237024,0.0158623917,-0.0037463898,0.0092235181,-0.0064908778,0.0048411252
"1978-01-31",-0.0601504908,0.0282998570,0.0344756594,-0.0169121742,0.0160122529,0.0048411252
"1978-02-28",-0.0140587459,0.0370860869,0.0076011340,0.0035852070,0.0104300021,0.0045698630
"1978-03-31",0.0282455282,0.0356198654,0.0117236608,-0.0056976051,0.0182246657,0.0052933269
"1978-04-30",0.0784581723,-0.0032861866,-0.0325739511,0.0267808841,-0.0126489751,0.0054138735
"1978-05-31",0.0171408126,0.0436842929,-0.0062651525,0.0022595022,0.0029808351,0.0050722387
"1978-06-30",-0.0169766414,0.0164684626,0.0061619941,-0.0148301600,0.0002723503,0.0052933269
"1978-07-31",0.0509001383,0.0019272962,-0.0094927219,0.0141656594,-0.0063970404,0.0056149211
"1978-08-31",0.0376494507,0.0475206313,-0.0055564147,0.0144246491,0.0049574079,0.0055345973
"1978-09-30",-0.0145544053,-0.0038026055,0.0186309901,-0.0068091461,0.0161932648,0.0062182930
"1978-10-31",-0.1183573648,-0.1121363048,0.0165276805,0.0020521720,0.0119002225,0.0068422450
"1978-11-30",0.0267502331,0.0284523440,-0.0216132107,0.0111952133,-0.0119491683,0.0069529169
"1978-12-31",0.0086376696,0.0095410445,-0.0220143019,0.0206828076,-0.0144330714,0.0078289667
"1979-01-31",0.0416754322,0.0358245323,0.0214666831,-0.0228948379,0.0145740837,0.0077283636
"1979-02-28",-0.0357326245,0.0054496129,0.0123398734,-0.0119499041,0.0108411351,0.0072447457
"1979-03-31",0.0563851711,0.0293274987,-0.0060358984,0.0059962254,0.0025820086,0.0081717020
"1979-04-30",-0.0003855586,0.0236254195,0.0102246226,0.0109299888,0.0021840755,0.0080304731
"1979-05-31",-0.0218150478,0.0012935805,0.0129582107,-0.0135331342,-0.0038198113,0.0081717020
"1979-06-30",0.0378478997,0.0089006374,0.0139350998,-0.0152359389,-0.0048553230,0.0080103971
"1979-07-31",0.0078935205,0.0117917529,0.0159746703,-0.0018574916,0.0053713049,0.0075872782
"1979-08-31",0.0549355939,0.0183045191,-0.0143503507,0.0156717981,-0.0134588604,0.0076176154
"1979-09-30",-0.0083230199,-0.0024420833,-0.0089013923,0.0105781237,0.0055612452,0.0082016951
"1979-10-31",-0.0803794866,-0.0365458151,-0.0203567198,0.0119926992,0.0014524303,0.0087766306
"1979-11-30",0.0520927923,0.0225234960,-0.0300140047,0.0007631688,-0.0177910180,0.0099165274
"1979-12-31",0.0180452194,0.0421680926,-0.0188850929,-0.0064189095,-0.0094962115,0.0094420896
