,date,mkt_rf,smb,hml,rf,Mom,liq,Unnamed: 2
197810,1978-10-31,-0.1183573648,-0.1104158643,0.0165276805,0.006842245,-0.1021071668,0.04393819,
197811,1978-11-30,0.0267502331,0.0297803376,-0.0216132107,0.0069529169,0.045612157,-0.03453245,
197812,1978-12-31,0.0086376696,0.0113600133,-0.0220143019,0.0078289667,0.0345100523,0.00320466,
197901,1979-01-31,0.0416754322,0.0342767475,0.0214666831,0.0077283636,-0.0099086701,-0.00940122,
197902,1979-02-28,-0.0357326245,0.0046411785,0.0123398734,0.0072447457,-0.0183364458,-0.03257974,
197903,1979-03-31,0.0563851711,0.0295334366,-0.0060358984,0.008171702,0.0165576788,-0.01101773,
197904,1979-04-30,-0.0003855586,0.0211764592,0.0102246226,0.0080304731,0.0110184788,0.02047961,
197905,1979-05-31,-0.0218150478,0.0016935905,0.0129582107,0.008171702,-0.0105261921,-0.023781,
197906,1979-06-30,0.0378478997,0.0108214027,0.0139350998,0.0080103971,0.0085394705,-0.01699896,
197907,1979-07-31,0.0078935205,0.0120978852,0.0159746703,0.0075872782,-0.016270421,-0.01449611,
197908,1979-08-31,0.0549355939,0.0195281888,-0.0143503507,0.0076176154,-0.0144334108,0.01599076,
197909,1979-09-30,-0.0083230199,-0.0024478159,-0.0089013923,0.0082016951,0.054230662,-0.00999328,
197910,1979-10-31,-0.0803794866,-0.0351820977,-0.0203567198,0.0087766306,0.0286978565,-0.00045465,
197911,1979-11-30,0.0520927923,0.0253872747,-0.0300140047,0.0099165274,0.0652906574,-0.06976762,
197912,1979-12-31,0.0180452194,0.0405097746,-0.0188850929,0.0094420896,0.0456126823,-0.01799238,
198001,1980-01-31,0.0547567977,0.0152343,0.0166899985,0.0079500096,0.0722070969,0.0001861,
198002,1980-02-29,-0.0121952276,-0.0192364102,0.0060544294,0.0088368813,0.074777688,0.01719526,
198003,1980-03-31,-0.1277134628,-0.0743305924,-0.0124127354,0.0120384759,-0.1007202564,0.02982032,
198004,1980-04-30,0.0395378577,0.0090867489,0.0094078771,0.0124633749,-0.0072378595,-0.0111983,
198005,1980-05-31,0.0521753988,0.0197055015,0.0035496609,0.0080103971,-0.0143728681,-0.00725668,
198006,1980-06-30,0.0302847247,0.0157760916,-0.0088074549,0.0061076935,0.0129811967,0.01042402,
198007,1980-07-31,0.0643158887,0.0397284704,-0.0571928158,0.0052933269,-0.0054274174,-0.0068549,
198008,1980-08-31,0.0179484981,0.0379890141,-0.0249038182,0.006318936,0.033498662,0.01144489,
198009,1980-09-30,0.0217274324,0.0084184881,-0.0479905054,0.0075872782,0.0529660393,0.01401007,
198010,1980-10-31,0.0103312515,0.022774975,-0.0296158288,0.0094726516,0.0588868948,0.02764647,
198011,1980-11-30,0.0953981363,-0.0312902539,-0.0739300788,0.0095830994,0.1564599945,0.02789981,
198012,1980-12-31,-0.0439429442,-0.0032841484,0.0266938218,0.0130607283,-0.0624241552,0.02750117,
198101,1981-01-31,-0.0499727398,0.0309541068,0.0706731836,0.0103405778,-0.0757604184,0.04003611,
198102,1981-02-28,0.0057385743,-0.0041493203,0.0083201674,0.0106937962,0.0089259362,0.0020778,
198103,1981-03-31,0.0357593433,0.0320515263,0.0051841725,0.0121701344,0.012660302,0.01531355,
198104,1981-04-30,-0.0215714499,0.0462091049,0.0234491688,0.0107647978,-0.0116399105,-0.01713319,
198105,1981-05-31,0.0011036392,0.0186100115,-0.0043930053,0.0114619426,0.0452111659,-0.02528308,
198106,1981-06-30,-0.0241882164,-0.0084919874,0.0537256123,0.0135063057,-0.0596369674,0.06080179,
198107,1981-07-31,-0.0154805836,-0.0215755316,-0.0067117314,0.0123927128,-0.0355644919,-0.01412726,
198108,1981-08-31,-0.0700432042,-0.0205649725,0.0515302405,0.0128884437,-0.0039254175,-0.0015173,
198109,1981-09-30,-0.0710347303,-0.0282334525,0.0526714971,0.0124633749,0.0162359854,0.09463966,
198110,1981-10-31,0.0485201959,0.0196964377,-0.0393429464,0.0119476027,0.0264456862,-0.02337636,
198111,1981-11-30,0.0334473753,-0.0102132297,0.0178457591,0.0106535411,-0.0051919861,0.06020799,
198112,1981-12-31,-0.0360068816,0.0116881365,0.007013085,0.0088370587,0.0078175004,0.00777277,
198201,1982-01-31,-0.0326021611,-0.0136710186,0.0312506114,0.0080304731,0.0148874699,-0.02015572,
198202,1982-02-28,-0.0581829937,0.0044938193,0.0649655738,0.0091595058,0.0588077852,-0.01174033,
198203,1982-03-31,-0.0176818663,-0.0026947796,0.0352486183,0.0097047607,0.0209197444,0.04321288,
198204,1982-04-30,0.0316215175,0.015009839,-0.0301048262,0.0111891875,-0.0041597686,-0.02440709,
198205,1982-05-31,-0.0390170299,0.0018031879,0.0181924225,0.0106535411,0.0232767763,0.02937871,
198206,1982-06-30,-0.0308569258,-0.0029236303,0.0176705032,0.0095028346,0.0512186711,0.04982222,
198207,1982-07-31,-0.0311946745,0.0089955021,0.0011998066,0.0105526666,0.0608498366,-0.01620085,
198208,1982-08-31,0.1112518052,-0.0399063235,0.009652569,0.0077283636,-0.0227583684,-0.00479533,
198209,1982-09-30,0.0127511856,0.0272620535,0.0018593196,0.0050521144,0.0306410592,0.04229533,
198210,1982-10-31,0.1120391993,0.0195549583,-0.0326786064,0.0058964932,-0.0125277198,-0.03734213,
198211,1982-11-30,0.0464365675,0.0440689153,-0.0196640716,0.006318936,0.0639241222,0.01039021,
198212,1982-12-31,0.0059553539,-0.0033622323,-0.00164299,0.006842245,-0.0059307784,-0.0316098,
198301,1983-01-31,0.0354951322,0.0253229961,-0.0080550176,0.0069529169,-0.0224078309,-0.05260168,
198302,1983-02-28,0.0258354913,0.0297022815,0.0049202835,0.0060975422,0.022133077,-0.0293076,
198303,1983-03-31,0.0284416863,0.0165737803,0.0202007129,0.0062284786,-0.0025613397,0.04336446,
198304,1983-04-30,0.0662550957,0.00466484,0.0048462918,0.0072246773,0.0154035058,0.03779305,
198305,1983-05-31,0.0053950927,0.0612818137,-0.0127636703,0.0069529169,-0.0196497594,0.01919054,
198306,1983-06-30,0.0303191916,0.0085288607,-0.0373183759,0.0066208316,0.0219042654,-0.00040756,
198307,1983-07-31,-0.0407426662,0.0142176175,0.0579598287,0.0074260688,-0.0378196476,0.04569342,
198308,1983-08-31,-0.0051452386,-0.0427776402,0.056581127,0.0076176154,-0.0544213628,0.04335315,
198309,1983-09-30,0.0091264076,0.0050948925,0.0100471891,0.0075872782,-0.0041230657,0.01099896,
198310,1983-10-31,-0.0342704447,-0.037389879,0.053603896,0.0075872782,-0.0277402027,0.05662081,
198311,1983-11-30,0.0217097078,0.0195001247,-0.0063483909,0.0069529169,-0.0074278737,-0.0699636,
198312,1983-12-31,-0.0181251145,-0.0033079839,0.0169504169,0.0071643284,-0.0038290953,0.05017865,
198401,1984-01-31,-0.0199682261,-0.0038383802,0.0784433245,0.0075872782,-0.0269946999,0.06659971,
198402,1984-02-29,-0.0478397726,-0.0184680527,0.0359289536,0.0072246773,0.0114813823,0.00850094,
198403,1984-03-31,0.0062884179,-0.0001177608,0.0043740418,0.0072852113,0.0103672608,0.00530732,
198404,1984-04-30,-0.0050722478,-0.0122467687,0.0124880843,0.0082320177,0.0152568742,0.00830868,
198405,1984-05-31,-0.0593304046,0.0003936017,0.0017665394,0.0077283636,0.0288671603,0.02400766,
198406,1984-06-30,0.0178628955,-0.0043738862,-0.0253190914,0.0075872782,-0.0019634067,-0.00547198,
198407,1984-07-31,-0.0270767088,-0.0227237455,0.0052347275,0.00822202,0.0448278319,0.01549686,
198408,1984-08-31,0.1018415531,-0.0034238509,-0.0179405953,0.0083128716,-0.0570272172,-0.02667349,
198409,1984-09-30,-0.0079870843,0.0011989214,0.0544736026,0.008584716,0.032927723,0.02622654,
198410,1984-10-31,-0.0084363901,-0.0116375388,0.0059420501,0.0099369208,0.0332294646,-0.00762248,
198411,1984-11-30,-0.0174387405,-0.0079209044,0.0405037838,0.0073757821,0.0273537302,0.0160219,
198412,1984-12-31,0.0182337487,-0.0049448178,-5.95328e-05,0.0064194934,0.0103718539,-0.00493264,
198501,1985-01-31,0.0793694516,0.0289962229,-0.0491453829,0.0063994647,-0.0642764188,-0.01578563,
198502,1985-02-28,0.0120768105,0.0052543671,-0.0042664981,0.0057154162,0.0069626667,0.0247697,
198503,1985-03-31,-0.0082687821,-0.0122581199,0.0414664682,0.0061076935,0.0189309707,0.0401657,
198504,1985-04-30,-0.0095387955,0.0011402327,0.0381077075,0.0071643284,0.0333931368,0.03773248,
198505,1985-05-31,0.0505849486,-0.0216398222,-0.0087672889,0.0066208316,0.0449956223,-0.00795588,
198506,1985-06-30,0.0127387959,0.0035907389,0.0036775037,0.0056149211,0.0297048268,0.00735248,
