"date","mkt_rf","smb","hml","rf","Mom"
"1934-05-31",-0.0730657964,-0.0038489961,-0.0597794636,0.0000000000,0.0165270862
"1934-06-30",0.0264956527,-0.0236486915,-0.0249536767,0.0000000000,0.0063924423
"1934-07-31",-0.1095501220,-0.0791595464,-0.1165384009,0.0000000000,0.1138878656
"1934-08-31",0.0563948099,0.0508206260,0.0071610676,0.0000000000,0.0002560314
"1934-09-30",-0.0022713011,-0.0169049954,-0.0104043146,0.0000000000,-0.0048993717
"1934-10-31",-0.0166681109,0.0066084175,-0.0482152773,0.0000000000,0.0292235293
"1934-11-30",0.0836899945,0.0600715599,-0.0188386535,0.0000000000,-0.0241798354
"1934-12-31",0.0042457832,0.0323618244,-0.0307614295,0.0000000000,0.0500057117
"1935-01-31",-0.0344655117,0.0108745473,-0.0171754195,0.0002600325,0.0338137228
"1935-02-28",-0.0196166514,0.0049170733,-0.0736885447,0.0002200231,0.1293246608
"1935-03-31",-0.0366262354,-0.0369155075,-0.0501565689,0.0000000000,0.0069501089
"1935-04-30",0.0905022853,-0.0174747076,0.0414963292,0.0002500300,-0.0549215016
"1935-05-31",0.0339659265,-0.0404720541,0.0381486136,0.0002600325,-0.0505746502
"1935-06-30",0.0592992757,-0.0247449843,-0.0134239370,0.0000000000,0.0228100613
"1935-07-31",0.0757359024,0.0135917875,0.0637934010,0.0002600325,0.0082538436
"1935-08-31",0.0255355197,0.0579970633,0.0586466679,0.0000000000,-0.0448994212
"1935-09-30",0.0263864770,0.0156786929,-0.0382394833,0.0002400276,0.0943548681
"1935-10-31",0.0702879547,0.0245527167,-0.0204587851,0.0000000000,0.0267207355
"1935-11-30",0.0482684984,0.0406137674,0.1170274636,0.0002300253,-0.0510102811
"1935-12-31",0.0457544581,0.0006907655,0.0099402059,0.0002500300,0.0564210523
"1936-01-31",0.0690596457,0.0499173994,0.1049168019,0.0002600325,0.0067048803
"1936-02-29",0.0249215865,0.0088900205,0.0481620145,0.0002300253,0.0183496839
"1936-03-31",0.0093604356,0.0072162501,-0.0167516497,0.0002600325,0.0079790929
"1936-04-30",-0.0811706975,-0.0651715671,-0.0209926595,0.0002500300,-0.0739023817
"1936-05-31",0.0522599118,0.0074819408,0.0256089601,0.0002500300,0.0348943376
"1936-06-30",0.0240723195,-0.0327179424,-0.0102531690,0.0002600325,0.0077922542
"1936-07-31",0.0671099652,0.0115925287,0.0258379100,0.0002600325,0.0132056646
